is_sample time
1 3879542.000000
1 3880149.000000
1 3880149.000000
1 3879180.000000
1 3879180.000000
1 3882311.000000
1 3882311.000000
1 3879760.000000
1 3879760.000000
1 3881161.000000
1 3881161.000000
1 3879097.000000
1 3879097.000000
1 3880259.000000
1 3880259.000000
1 3879644.000000
1 3879644.000000
1 3881064.000000
1 3881064.000000
1 3879043.000000
1 3879043.000000
1 3879826.000000
1 3879826.000000
1 3880916.000000
1 3880916.000000
1 3879110.000000
1 3879110.000000
1 3881020.000000
1 3881020.000000
1 3879446.000000
1 3879446.000000
1 3879830.000000
1 3879830.000000
1 3880974.000000
1 3880974.000000
1 3881050.000000
1 3881050.000000
1 3880327.000000
1 3880327.000000
1 3880160.000000
1 3880160.000000
1 3880768.000000
1 3880768.000000
1 3882204.000000
1 3882204.000000
1 3879313.000000
1 3879313.000000
1 3880509.000000
1 3880509.000000
1 3880188.000000
1 3880188.000000
1 3880277.000000
1 3880277.000000
1 3879025.000000
1 3879025.000000
1 3879284.000000
1 3879284.000000
1 3880382.000000
1 3880382.000000
1 3881902.000000
1 3881902.000000
1 3879348.000000
1 3879348.000000
1 3880476.000000
