Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1569, 326 generations after burn-in, is: -0.567427
log average fitness in generation 1570, 327 generations after burn-in, is: -0.567255
log average fitness in generation 1571, 328 generations after burn-in, is: -0.570256
log average fitness in generation 1572, 329 generations after burn-in, is: -0.567142
log average fitness in generation 1573, 330 generations after burn-in, is: -0.565997
log average fitness in generation 1574, 331 generations after burn-in, is: -0.560195
log average fitness in generation 1575, 332 generations after burn-in, is: -0.561271
log average fitness in generation 1576, 333 generations after burn-in, is: -0.561109
log average fitness in generation 1577, 334 generations after burn-in, is: -0.560010
log average fitness in generation 1578, 335 generations after burn-in, is: -0.557391
log average fitness in generation 1579, 336 generations after burn-in, is: -0.550073
log average fitness in generation 1580, 337 generations after burn-in, is: -0.550577
log average fitness in generation 1581, 338 generations after burn-in, is: -0.550583
log average fitness in generation 1582, 339 generations after burn-in, is: -0.549429
log average fitness in generation 1583, 340 generations after burn-in, is: -0.547343
log average fitness in generation 1584, 341 generations after burn-in, is: -0.553405
log average fitness in generation 1585, 342 generations after burn-in, is: -0.546624
log average fitness in generation 1586, 343 generations after burn-in, is: -0.550197
log average fitness in generation 1587, 344 generations after burn-in, is: -0.549591
log average fitness in generation 1588, 345 generations after burn-in, is: -0.550859
log average fitness in generation 1589, 346 generations after burn-in, is: -0.551384
log average fitness in generation 1590, 347 generations after burn-in, is: -0.555012
log average fitness in generation 1591, 348 generations after burn-in, is: -0.549800
log average fitness in generation 1592, 349 generations after burn-in, is: -0.547824
log average fitness in generation 1593, 350 generations after burn-in, is: -0.542341
log average fitness in generation 1594, 351 generations after burn-in, is: -0.542769
log average fitness in generation 1595, 352 generations after burn-in, is: -0.535699
log average fitness in generation 1596, 353 generations after burn-in, is: -0.526139
log average fitness in generation 1597, 354 generations after burn-in, is: -0.519955
log average fitness in generation 1598, 355 generations after burn-in, is: -0.521211
log average fitness in generation 1599, 356 generations after burn-in, is: -0.522714
log average fitness in generation 1600, 357 generations after burn-in, is: -0.524690
log average fitness in generation 1601, 358 generations after burn-in, is: -0.524196
log average fitness in generation 1602, 359 generations after burn-in, is: -0.518802
log average fitness in generation 1603, 360 generations after burn-in, is: -0.518532
log average fitness in generation 1604, 361 generations after burn-in, is: -0.519391
log average fitness in generation 1605, 362 generations after burn-in, is: -0.518647
log average fitness in generation 1606, 363 generations after burn-in, is: -0.526237
log average fitness in generation 1607, 364 generations after burn-in, is: -0.529124
log average fitness in generation 1608, 365 generations after burn-in, is: -0.530269
log average fitness in generation 1609, 366 generations after burn-in, is: -0.532149
log average fitness in generation 1610, 367 generations after burn-in, is: -0.540144
log average fitness in generation 1611, 368 generations after burn-in, is: -0.541024
log average fitness in generation 1612, 369 generations after burn-in, is: -0.544318
log average fitness in generation 1613, 370 generations after burn-in, is: -0.537667
log average fitness in generation 1614, 371 generations after burn-in, is: -0.543712
log average fitness in generation 1615, 372 generations after burn-in, is: -0.542119
log average fitness in generation 1616, 373 generations after burn-in, is: -0.544146
log average fitness in generation 1617, 374 generations after burn-in, is: -0.543350
log average fitness in generation 1618, 375 generations after burn-in, is: -0.549467
log average fitness in generation 1619, 376 generations after burn-in, is: -0.555590
log average fitness in generation 1620, 377 generations after burn-in, is: -0.544774
log average fitness in generation 1621, 378 generations after burn-in, is: -0.537111
log average fitness in generation 1622, 379 generations after burn-in, is: -0.538869
log average fitness in generation 1623, 380 generations after burn-in, is: -0.534633
log average fitness in generation 1624, 381 generations after burn-in, is: -0.529738
log average fitness in generation 1625, 382 generations after burn-in, is: -0.519816
log average fitness in generation 1626, 383 generations after burn-in, is: -0.524459
log average fitness in generation 1627, 384 generations after burn-in, is: -0.518534
log average fitness in generation 1628, 385 generations after burn-in, is: -0.516453
log average fitness in generation 1629, 386 generations after burn-in, is: -0.523708
log average fitness in generation 1630, 387 generations after burn-in, is: -0.515259
log average fitness in generation 1631, 388 generations after burn-in, is: -0.521173
log average fitness in generation 1632, 389 generations after burn-in, is: -0.530337
log average fitness in generation 1633, 390 generations after burn-in, is: -0.532061
log average fitness in generation 1634, 391 generations after burn-in, is: -0.534680
log average fitness in generation 1635, 392 generations after burn-in, is: -0.533968
log average fitness in generation 1636, 393 generations after burn-in, is: -0.536073
log average fitness in generation 1637, 394 generations after burn-in, is: -0.536697
log average fitness in generation 1638, 395 generations after burn-in, is: -0.535980
log average fitness in generation 1639, 396 generations after burn-in, is: -0.543890
log average fitness in generation 1640, 397 generations after burn-in, is: -0.554580
log average fitness in generation 1641, 398 generations after burn-in, is: -0.553627
log average fitness in generation 1642, 399 generations after burn-in, is: -0.564256
log average fitness in generation 1643, 400 generations after burn-in, is: -0.555814
log average fitness in generation 1644, 401 generations after burn-in, is: -0.561885
log average fitness in generation 1645, 402 generations after burn-in, is: -0.571712
log average fitness in generation 1646, 403 generations after burn-in, is: -0.570608
log average fitness in generation 1647, 404 generations after burn-in, is: -0.565619
log average fitness in generation 1648, 405 generations after burn-in, is: -0.570278
log average fitness in generation 1649, 406 generations after burn-in, is: -0.568364
log average fitness in generation 1650, 407 generations after burn-in, is: -0.559467
log average fitness in generation 1651, 408 generations after burn-in, is: -0.561562
log average fitness in generation 1652, 409 generations after burn-in, is: -0.559913
log average fitness in generation 1653, 410 generations after burn-in, is: -0.562265
log average fitness in generation 1654, 411 generations after burn-in, is: -0.561983
log average fitness in generation 1655, 412 generations after burn-in, is: -0.564344
log average fitness in generation 1656, 413 generations after burn-in, is: -0.557960
log average fitness in generation 1657, 414 generations after burn-in, is: -0.555607
log average fitness in generation 1658, 415 generations after burn-in, is: -0.561685
log average fitness in generation 1659, 416 generations after burn-in, is: -0.569051
log average fitness in generation 1660, 417 generations after burn-in, is: -0.574951
log average fitness in generation 1661, 418 generations after burn-in, is: -0.574696
log average fitness in generation 1662, 419 generations after burn-in, is: -0.578752
