Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1063, 215 generations after burn-in, is: -12.004906
log average fitness in generation 1064, 216 generations after burn-in, is: -11.998153
log average fitness in generation 1065, 217 generations after burn-in, is: -11.983809
log average fitness in generation 1066, 218 generations after burn-in, is: -11.901600
log average fitness in generation 1067, 219 generations after burn-in, is: -11.955195
log average fitness in generation 1068, 220 generations after burn-in, is: -11.914717
log average fitness in generation 1069, 221 generations after burn-in, is: -11.923813
log average fitness in generation 1070, 222 generations after burn-in, is: -11.951831
log average fitness in generation 1071, 223 generations after burn-in, is: -11.981034
log average fitness in generation 1072, 224 generations after burn-in, is: -11.962811
log average fitness in generation 1073, 225 generations after burn-in, is: -11.931911
log average fitness in generation 1074, 226 generations after burn-in, is: -11.928032
log average fitness in generation 1075, 227 generations after burn-in, is: -11.939668
log average fitness in generation 1076, 228 generations after burn-in, is: -11.927985
log average fitness in generation 1077, 229 generations after burn-in, is: -11.935692
log average fitness in generation 1078, 230 generations after burn-in, is: -11.965395
log average fitness in generation 1079, 231 generations after burn-in, is: -11.961466
log average fitness in generation 1080, 232 generations after burn-in, is: -12.006393
log average fitness in generation 1081, 233 generations after burn-in, is: -11.975985
log average fitness in generation 1082, 234 generations after burn-in, is: -11.956226
log average fitness in generation 1083, 235 generations after burn-in, is: -11.991214
log average fitness in generation 1084, 236 generations after burn-in, is: -12.019592
log average fitness in generation 1085, 237 generations after burn-in, is: -12.041342
log average fitness in generation 1086, 238 generations after burn-in, is: -12.062578
log average fitness in generation 1087, 239 generations after burn-in, is: -12.053673
log average fitness in generation 1088, 240 generations after burn-in, is: -11.988015
log average fitness in generation 1089, 241 generations after burn-in, is: -11.989934
log average fitness in generation 1090, 242 generations after burn-in, is: -12.000176
log average fitness in generation 1091, 243 generations after burn-in, is: -11.985032
log average fitness in generation 1092, 244 generations after burn-in, is: -11.977000
log average fitness in generation 1093, 245 generations after burn-in, is: -11.970853
log average fitness in generation 1094, 246 generations after burn-in, is: -11.938321
log average fitness in generation 1095, 247 generations after burn-in, is: -11.931749
log average fitness in generation 1096, 248 generations after burn-in, is: -11.897214
log average fitness in generation 1097, 249 generations after burn-in, is: -11.882010
log average fitness in generation 1098, 250 generations after burn-in, is: -11.845111
log average fitness in generation 1099, 251 generations after burn-in, is: -11.854820
log average fitness in generation 1100, 252 generations after burn-in, is: -11.927576
log average fitness in generation 1101, 253 generations after burn-in, is: -11.921371
log average fitness in generation 1102, 254 generations after burn-in, is: -11.917420
log average fitness in generation 1103, 255 generations after burn-in, is: -11.887333
log average fitness in generation 1104, 256 generations after burn-in, is: -11.868951
