Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1367, 315 generations after burn-in, is: -1.063066
log average fitness in generation 1368, 316 generations after burn-in, is: -1.061932
log average fitness in generation 1369, 317 generations after burn-in, is: -1.064661
log average fitness in generation 1370, 318 generations after burn-in, is: -1.068515
log average fitness in generation 1371, 319 generations after burn-in, is: -1.064840
log average fitness in generation 1372, 320 generations after burn-in, is: -1.063354
log average fitness in generation 1373, 321 generations after burn-in, is: -1.059569
log average fitness in generation 1374, 322 generations after burn-in, is: -1.064145
log average fitness in generation 1375, 323 generations after burn-in, is: -1.071524
log average fitness in generation 1376, 324 generations after burn-in, is: -1.084207
log average fitness in generation 1377, 325 generations after burn-in, is: -1.098990
log average fitness in generation 1378, 326 generations after burn-in, is: -1.076034
log average fitness in generation 1379, 327 generations after burn-in, is: -1.077717
log average fitness in generation 1380, 328 generations after burn-in, is: -1.081010
log average fitness in generation 1381, 329 generations after burn-in, is: -1.071801
log average fitness in generation 1382, 330 generations after burn-in, is: -1.079538
log average fitness in generation 1383, 331 generations after burn-in, is: -1.077864
log average fitness in generation 1384, 332 generations after burn-in, is: -1.093115
log average fitness in generation 1385, 333 generations after burn-in, is: -1.088289
log average fitness in generation 1386, 334 generations after burn-in, is: -1.087351
log average fitness in generation 1387, 335 generations after burn-in, is: -1.084769
log average fitness in generation 1388, 336 generations after burn-in, is: -1.087860
log average fitness in generation 1389, 337 generations after burn-in, is: -1.065642
log average fitness in generation 1390, 338 generations after burn-in, is: -1.064328
log average fitness in generation 1391, 339 generations after burn-in, is: -1.069477
log average fitness in generation 1392, 340 generations after burn-in, is: -1.062881
log average fitness in generation 1393, 341 generations after burn-in, is: -1.063440
log average fitness in generation 1394, 342 generations after burn-in, is: -1.057946
log average fitness in generation 1395, 343 generations after burn-in, is: -1.062520
log average fitness in generation 1396, 344 generations after burn-in, is: -1.067489
log average fitness in generation 1397, 345 generations after burn-in, is: -1.070859
log average fitness in generation 1398, 346 generations after burn-in, is: -1.066443
log average fitness in generation 1399, 347 generations after burn-in, is: -1.076118
log average fitness in generation 1400, 348 generations after burn-in, is: -1.083241
log average fitness in generation 1401, 349 generations after burn-in, is: -1.076072
log average fitness in generation 1402, 350 generations after burn-in, is: -1.076604
log average fitness in generation 1403, 351 generations after burn-in, is: -1.073158
log average fitness in generation 1404, 352 generations after burn-in, is: -1.076645
log average fitness in generation 1405, 353 generations after burn-in, is: -1.074157
log average fitness in generation 1406, 354 generations after burn-in, is: -1.076072
log average fitness in generation 1407, 355 generations after burn-in, is: -1.076361
log average fitness in generation 1408, 356 generations after burn-in, is: -1.079574
log average fitness in generation 1409, 357 generations after burn-in, is: -1.083896
log average fitness in generation 1410, 358 generations after burn-in, is: -1.092060
log average fitness in generation 1411, 359 generations after burn-in, is: -1.092463
log average fitness in generation 1412, 360 generations after burn-in, is: -1.084093
log average fitness in generation 1413, 361 generations after burn-in, is: -1.075042
log average fitness in generation 1414, 362 generations after burn-in, is: -1.075414
log average fitness in generation 1415, 363 generations after burn-in, is: -1.078729
log average fitness in generation 1416, 364 generations after burn-in, is: -1.074324
log average fitness in generation 1417, 365 generations after burn-in, is: -1.072796
log average fitness in generation 1418, 366 generations after burn-in, is: -1.067964
log average fitness in generation 1419, 367 generations after burn-in, is: -1.055125
log average fitness in generation 1420, 368 generations after burn-in, is: -1.053169
log average fitness in generation 1421, 369 generations after burn-in, is: -1.049499
log average fitness in generation 1422, 370 generations after burn-in, is: -1.046787
log average fitness in generation 1423, 371 generations after burn-in, is: -1.040088
log average fitness in generation 1424, 372 generations after burn-in, is: -1.057407
log average fitness in generation 1425, 373 generations after burn-in, is: -1.041923
log average fitness in generation 1426, 374 generations after burn-in, is: -1.050167
log average fitness in generation 1427, 375 generations after burn-in, is: -1.047986
log average fitness in generation 1428, 376 generations after burn-in, is: -1.047054
log average fitness in generation 1429, 377 generations after burn-in, is: -1.046146
log average fitness in generation 1430, 378 generations after burn-in, is: -1.040022
log average fitness in generation 1431, 379 generations after burn-in, is: -1.028553
log average fitness in generation 1432, 380 generations after burn-in, is: -1.044033
log average fitness in generation 1433, 381 generations after burn-in, is: -1.029181
log average fitness in generation 1434, 382 generations after burn-in, is: -1.031388
log average fitness in generation 1435, 383 generations after burn-in, is: -1.046342
log average fitness in generation 1436, 384 generations after burn-in, is: -1.039196
log average fitness in generation 1437, 385 generations after burn-in, is: -1.044517
log average fitness in generation 1438, 386 generations after burn-in, is: -1.050487
log average fitness in generation 1439, 387 generations after burn-in, is: -1.059983
log average fitness in generation 1440, 388 generations after burn-in, is: -1.069978
log average fitness in generation 1441, 389 generations after burn-in, is: -1.073408
log average fitness in generation 1442, 390 generations after burn-in, is: -1.083368
log average fitness in generation 1443, 391 generations after burn-in, is: -1.074764
log average fitness in generation 1444, 392 generations after burn-in, is: -1.066511
log average fitness in generation 1445, 393 generations after burn-in, is: -1.047535
log average fitness in generation 1446, 394 generations after burn-in, is: -1.045156
log average fitness in generation 1447, 395 generations after burn-in, is: -1.046345
log average fitness in generation 1448, 396 generations after burn-in, is: -1.021291
log average fitness in generation 1449, 397 generations after burn-in, is: -1.022647
log average fitness in generation 1450, 398 generations after burn-in, is: -1.013317
log average fitness in generation 1451, 399 generations after burn-in, is: -1.013827
log average fitness in generation 1452, 400 generations after burn-in, is: -1.009644
log average fitness in generation 1453, 401 generations after burn-in, is: -1.004583
log average fitness in generation 1454, 402 generations after burn-in, is: -1.002254
log average fitness in generation 1455, 403 generations after burn-in, is: -1.008105
log average fitness in generation 1456, 404 generations after burn-in, is: -1.008056
log average fitness in generation 1457, 405 generations after burn-in, is: -1.006523
log average fitness in generation 1458, 406 generations after burn-in, is: -1.013292
log average fitness in generation 1459, 407 generations after burn-in, is: -1.004819
log average fitness in generation 1460, 408 generations after burn-in, is: -1.016605
log average fitness in generation 1461, 409 generations after burn-in, is: -1.024148
log average fitness in generation 1462, 410 generations after burn-in, is: -1.029644
log average fitness in generation 1463, 411 generations after burn-in, is: -1.034308
log average fitness in generation 1464, 412 generations after burn-in, is: -1.044781
log average fitness in generation 1465, 413 generations after burn-in, is: -1.052744
log average fitness in generation 1466, 414 generations after burn-in, is: -1.066119
log average fitness in generation 1467, 415 generations after burn-in, is: -1.061954
log average fitness in generation 1468, 416 generations after burn-in, is: -1.064215
log average fitness in generation 1469, 417 generations after burn-in, is: -1.072890
log average fitness in generation 1470, 418 generations after burn-in, is: -1.077553
log average fitness in generation 1471, 419 generations after burn-in, is: -1.078254
log average fitness in generation 1472, 420 generations after burn-in, is: -1.078234
log average fitness in generation 1473, 421 generations after burn-in, is: -1.070380
log average fitness in generation 1474, 422 generations after burn-in, is: -1.082104
log average fitness in generation 1475, 423 generations after burn-in, is: -1.093714
log average fitness in generation 1476, 424 generations after burn-in, is: -1.097469
log average fitness in generation 1477, 425 generations after burn-in, is: -1.081395
log average fitness in generation 1478, 426 generations after burn-in, is: -1.071500
log average fitness in generation 1479, 427 generations after burn-in, is: -1.072901
log average fitness in generation 1480, 428 generations after burn-in, is: -1.084519
log average fitness in generation 1481, 429 generations after burn-in, is: -1.091195
log average fitness in generation 1482, 430 generations after burn-in, is: -1.091289
log average fitness in generation 1483, 431 generations after burn-in, is: -1.085843
log average fitness in generation 1484, 432 generations after burn-in, is: -1.079422
log average fitness in generation 1485, 433 generations after burn-in, is: -1.081759
log average fitness in generation 1486, 434 generations after burn-in, is: -1.063981
log average fitness in generation 1487, 435 generations after burn-in, is: -1.061628
log average fitness in generation 1488, 436 generations after burn-in, is: -1.071111
log average fitness in generation 1489, 437 generations after burn-in, is: -1.065300
log average fitness in generation 1490, 438 generations after burn-in, is: -1.059310
